# California county outlines for the Caltrans district lookup.
# Read: U.S. Census Bureau 2023 cartographic boundary file, counties,
# 1:20,000,000 (cb_2023_us_county_20m.zip), public domain. Coordinates
# rounded to 4 decimals. Regenerate: uv run python tools/build_ca_county_outlines.py
# One ring per line: county name, a tab, then lon,lat pairs separated by spaces.
Alameda	-122.3337,37.8098 -122.3039,37.8301 -122.3287,37.8938 -122.2711,37.9058 -122.2259,37.8796 -122.1851,37.8374 -122.1779,37.8163 -122.0455,37.7981 -121.9402,37.7235 -121.8507,37.7449 -121.5570,37.8165 -121.5570,37.7036 -121.5567,37.5427 -121.4719,37.4818 -121.4726,37.4822 -121.8558,37.4845 -121.8701,37.4807 -121.9250,37.4542 -122.0597,37.4641 -122.0815,37.4778 -122.1172,37.5067 -122.1292,37.5213 -122.1120,37.5289 -122.1444,37.5819 -122.1529,37.6408 -122.1628,37.6673 -122.1630,37.6679 -122.2138,37.6987 -122.2498,37.7264 -122.2525,37.7551 -122.3130,37.7772 -122.3337,37.8098
Alpine	-120.0725,38.5099 -120.0724,38.7028 -119.9649,38.7760 -119.8773,38.8702 -119.9043,38.9333 -119.5877,38.7147 -119.5854,38.7132 -119.6191,38.6035 -119.5424,38.4817 -119.6392,38.3269 -119.7054,38.4161 -119.8847,38.3562 -120.0200,38.4335 -120.0726,38.4471 -120.0725,38.5099
Amador	-121.0275,38.5083 -120.8130,38.5622 -120.6276,38.5031 -120.5675,38.5073 -120.3171,38.5451 -120.2128,38.6294 -120.1401,38.6384 -120.0776,38.7089 -120.0724,38.7028 -120.0725,38.5099 -120.2057,38.5010 -120.3310,38.4652 -120.4232,38.4733 -120.6149,38.3894 -120.6313,38.3403 -120.8101,38.2820 -120.8929,38.2216 -120.9955,38.2254 -121.0271,38.3003 -121.0275,38.5083
Butte	-122.0449,39.8838 -121.8040,39.8843 -121.7032,39.9842 -121.6460,39.9825 -121.5864,40.1005 -121.4369,40.1519 -121.3668,40.0861 -121.4195,40.0158 -121.4300,39.9003 -121.3508,39.8257 -121.2109,39.7257 -121.1367,39.6282 -121.0767,39.5973 -121.1499,39.5264 -121.3051,39.5196 -121.4060,39.3406 -121.5693,39.3084 -121.6238,39.2956 -121.6381,39.3056 -121.9083,39.3039 -121.8991,39.3573 -121.8900,39.3839 -121.8565,39.5369 -121.9940,39.5339 -121.9943,39.6715 -121.9473,39.7312 -122.0465,39.7976 -122.0449,39.8838
Calaveras	-120.9955,38.2254 -120.8929,38.2216 -120.8101,38.2820 -120.6313,38.3403 -120.6149,38.3894 -120.4232,38.4733 -120.3310,38.4652 -120.2057,38.5010 -120.0725,38.5099 -120.0726,38.4471 -120.0200,38.4335 -120.1762,38.3740 -120.4425,38.0587 -120.4628,38.0119 -120.5343,37.9894 -120.5150,37.9534 -120.6533,37.8319 -120.6534,37.8320 -120.9264,38.0774 -120.9421,38.0963 -120.9955,38.2254
Colusa	-122.7851,39.3830 -122.7391,39.3833 -122.1362,39.4145 -122.0089,39.4136 -122.0097,39.3839 -121.8900,39.3839 -121.8991,39.3573 -121.9083,39.3039 -121.9455,39.1798 -121.8891,39.0724 -121.7953,38.9961 -121.8355,38.9245 -122.3402,38.9242 -122.4091,38.9628 -122.4134,39.0202 -122.4920,39.0535 -122.4761,39.1726 -122.6809,39.2387 -122.7750,39.3118 -122.7435,39.3681 -122.7851,39.3830
Contra Costa	-122.4253,37.9557 -122.3676,37.9782 -122.3689,38.0079 -122.3217,38.0103 -122.2629,38.0515 -122.2693,38.0604 -122.1240,38.0357 -121.9832,38.0673 -121.8782,38.0493 -121.8625,38.0660 -121.8157,38.0210 -121.7517,38.0243 -121.6731,38.0935 -121.5800,38.0944 -121.5576,38.0170 -121.5799,37.9761 -121.5576,37.9465 -121.5564,37.9233 -121.5728,37.9043 -121.5795,37.8611 -121.5342,37.8499 -121.5570,37.8165 -121.8507,37.7449 -121.9402,37.7235 -122.0455,37.7981 -122.1779,37.8163 -122.1851,37.8374 -122.2259,37.8796 -122.2711,37.9058 -122.3287,37.8938 -122.3345,37.9088 -122.3787,37.9052 -122.4253,37.9557
Del Norte	-124.2196,41.8464 -124.2034,41.9410 -124.2116,41.9985 -124.0012,41.9961 -123.8220,41.9956 -123.6570,41.9951 -123.5191,41.9992 -123.5654,41.9031 -123.6428,41.8894 -123.7038,41.8291 -123.6602,41.7141 -123.7192,41.5956 -123.6480,41.5350 -123.6118,41.4621 -123.6614,41.3821 -123.7702,41.3808 -123.7706,41.4642 -124.0675,41.4647 -124.0820,41.5478 -124.1160,41.6288 -124.1435,41.7093 -124.1542,41.7288 -124.1910,41.7361 -124.2450,41.7923 -124.2196,41.8464
El Dorado	-121.1416,38.7119 -121.0873,38.8333 -121.0609,38.8456 -121.0404,38.9157 -120.9403,38.9623 -120.8589,38.9523 -120.8123,39.0001 -120.7464,39.0104 -120.6425,38.9444 -120.5637,38.9137 -120.4710,38.9655 -120.4352,39.0284 -120.1841,39.0310 -120.1437,39.0673 -120.0020,39.0675 -120.0010,38.9996 -119.9043,38.9333 -119.8773,38.8702 -119.9649,38.7760 -120.0724,38.7028 -120.0776,38.7089 -120.1401,38.6384 -120.2128,38.6294 -120.3171,38.5451 -120.5675,38.5073 -120.6276,38.5031 -120.8130,38.5622 -121.0275,38.5083 -121.0414,38.5407 -121.1190,38.7179 -121.1416,38.7119
Fresno	-120.6560,36.9528 -120.5906,36.9526 -120.5417,37.0445 -120.4503,36.9112 -120.4562,36.8629 -120.3696,36.8104 -120.3703,36.7849 -120.2292,36.7697 -120.0795,36.8253 -120.0278,36.8145 -119.9847,36.8408 -119.9435,36.8340 -119.9060,36.8501 -119.8181,36.8482 -119.7339,36.9486 -119.7405,36.9702 -119.5494,37.0940 -119.5632,37.1400 -119.5067,37.1506 -119.4708,37.1105 -119.4331,37.1615 -119.3865,37.1495 -119.3306,37.2058 -119.3352,37.3108 -119.2867,37.3749 -119.0224,37.5857 -118.9171,37.5503 -118.8505,37.4758 -118.7750,37.4631 -118.7867,37.3434 -118.7160,37.3282 -118.6546,37.1418 -118.5927,37.1381 -118.4371,37.0598 -118.3608,36.8877 -118.3898,36.8345 -118.3606,36.7448 -118.9824,36.7416 -119.0144,36.6574 -119.1748,36.6589 -119.3046,36.6606 -119.3051,36.5737 -119.4663,36.5752 -119.5732,36.4888 -119.6663,36.4190 -119.7542,36.4020 -119.9592,36.4009 -119.9589,36.2555 -119.9591,36.1817 -120.3151,35.9072 -120.4331,35.9689 -120.6676,36.1381 -120.6269,36.2032 -120.6786,36.2673 -120.5966,36.3285 -120.5972,36.4882 -120.9187,36.7404 -120.6560,36.9528
