index,recordDate,recordTime,recordEpoch,travelFlowDirection,beginDistrict,beginLocationName,beginFreeFormDescription,beginNearbyPlace,beginLongitude,beginLatitude,beginElevation,beginDirection,beginCounty,beginRoute,beginRouteSuffix,beginPostmilePrefix,beginPostmile,beginAlignment,beginMilepost,endDistrict,endLocationName,endFreeFormDescription,endNearbyPlace,endLongitude,endLatitude,endElevation,endDirection,endCounty,endRoute,endRouteSuffix,endPostmilePrefix,endPostmile,endAlignment,endMilepost,closureID,logNumber,closureRequestDate,closureRequestTime,closureRequestEpoch,closureStartDate,closureStartTime,closureStartEpoch,closureEndDate,closureEndTime,closureEndEpoch,isClosureEndIndefinite,facility,typeOfClosure,typeOfWork,durationOfClosure,estimatedDelay,lanesClosed,totalExistingLanes,isCHINReportable,isCode1097,code1097Date,code1097Time,code1097Epoch,isCode1098,code1098Date,code1098Time,code1098Epoch,isCode1022,code1022Date,code1022Time,code1022Epoch
C5DA-0077-2026-09-24-06:01:00,2026-09-24,11:03:03,1790272983,North,7,"Hasley Canyon Rd",,Castaic,-118.615896,34.456011,1046,,"Los Angeles",I-5,,R,56.600,,172.795,7,"Parker Rd",,Castaic,-118.619155,34.489775,1164,,"Los Angeles",I-5,,R,59.010,,175.205,C5DA,77,2026-09-08,10:47:15,1788889635,2026-09-24,06:01:00,1790254860,2026-09-24,14:59:00,1790287140,false,Mainline,Lane,"Roadway Excavation",Standard,"Not Reported",4,4,false,true,2026-09-24,06:01:22,1790254882,false,,,,false,,,
C80OA-0035-2026-06-21-07:01:00,2026-09-24,11:13:02,1790273582,East,3,"Drum Forebay Rd",,Alta,-120.752742,39.237228,4307,East,Placer,I-80,,,49.000,,150.504,3,"Route 80",,Alta,-120.752742,39.237228,4307,East,Placer,I-80,,,49.000,,150.504,C80OA,35,2026-06-19,12:19:55,1781896795,2026-06-21,07:01:00,1782050460,2026-10-14,07:01:00,1791986460,false,"On Ramp",Full,"Highway Construction","Long Term","Not Reported",All,2,false,true,2026-06-21,15:21:36,1782080496,false,,,,false,,,
C1PB-0004-2026-09-24-07:01:00,2026-09-24,11:18:02,1790273882,"North / South",1,"Hazel St",,"Fort Bragg",-123.806019,39.438149,65,,Mendocino,SR-1,,,61.050,,602.976,1,,"250 ft North of Maple St","Fort Bragg",-123.805988,39.439955,68,,Mendocino,SR-1,,,61.180,,597.147,C1PB,4,2026-09-08,15:37:55,1788907075,2026-09-24,07:01:00,1790258460,2026-09-24,16:01:00,1790290860,false,"Conventional Hwy",Lane,"Utility Work",Standard,5,"LShoulder, 2, 4, RShoulder",4,false,true,2026-09-24,06:41:50,1790257310,false,,,,false,,,
C101AD-0002-2026-09-24-20:01:00,2026-09-24,11:18:02,1790273882,South,1,"Cole Ave - Jacobs Ave",,Eureka,-124.133346,40.805387,-6,,Humboldt,US-101,,,80.260,,704.831,1,"X St Southbound",,Eureka,-124.147099,40.804692,13,,Humboldt,US-101,,,79.520,L,704.091,C101AD,2,2026-09-18,08:47:46,1789746466,2026-09-24,20:01:00,1790305260,2026-09-25,06:01:00,1790341260,false,Mainline,Lane,"Core Drilling",Standard,10,1,2,false,false,,,,false,,,,false,,,
C80XA-0033-2026-09-24-05:01:00,2026-09-24,11:13:02,1790273582,East,3,,"postmile 35.0- start of paving",Colfax,-120.940869,39.121817,2306,,Placer,I-80,,,35.000,,136.504,3,,"postmile 43.5- end of paving",Alta,-120.826064,39.188169,3356,,Placer,I-80,,,43.500,,145.004,C80XA,33,2026-09-22,09:48:04,1790095684,2026-09-24,05:01:00,1790251260,2026-09-24,15:59:00,1790290740,false,Mainline,Moving,"Miscellaneous Work",Standard,"Not Reported","2, RShoulder",2,true,true,2026-09-24,05:41:03,1790253663,false,,,,false,,,
C101AD-0001-2026-09-23-20:01:00,2026-09-24,11:18:02,1790273882,South,1,"Cole Ave - Jacobs Ave",,Eureka,-124.133346,40.805387,-6,,Humboldt,US-101,,,80.260,,704.831,1,"X St Southbound",,Eureka,-124.147099,40.804692,13,,Humboldt,US-101,,,79.520,L,704.091,C101AD,1,2026-09-18,08:47:46,1789746466,2026-09-23,20:01:00,1790218860,2026-09-24,06:01:00,1790254860,false,Mainline,Lane,"Core Drilling",Standard,10,1,2,false,false,,,,false,,,,false,,,
C1FA-0004-2026-09-24-08:01:00,2026-09-24,11:18:02,1790273882,"North / South",1,"Comptche Ukiah Rd",,Mendocino,-123.793973,39.299724,85,,Mendocino,SR-1,,,50.040,,593.072,1,"Main St - Jackson St",,Mendocino,-123.793517,39.306568,114,,Mendocino,SR-1,,R,50.560,,587.632,C1FA,4,2026-09-15,08:11:58,1789485118,2026-09-24,08:01:00,1790262060,2026-09-24,19:30:00,1790303400,false,"Conventional Hwy","One-Way Traffic","Utility Work",Standard,5,"1, RShoulder",2,true,true,2026-09-24,07:06:46,1790258806,false,,,,false,,,
C80MA-0004-2026-09-24-06:01:00,2026-09-24,11:13:02,1790273582,East,3,"Beg Chain-On",,"Soda Springs",-120.457357,39.314695,6092,,Placer,I-80,,,68.600,,169.974,3,"Soda Springs / Norden",,Truckee,-120.392195,39.325187,6663,,Nevada,I-80,,R,2.476,R,173.619,C80MA,4,2026-09-15,11:59:59,1789498799,2026-09-24,06:01:00,1790254860,2026-09-24,17:59:00,1790297940,false,Mainline,"Alternating Lanes","Pavement Work",Standard,"Not Reported","1, 2",3,true,false,,,,false,,,,true,2026-09-24,08:40:16,1790264416
C101JD-0004-2026-09-24-05:01:00,2026-09-24,11:18:02,1790273882,"North / South",1,"La Franchi Rd",,Hopland,-123.109439,38.957845,501,,Mendocino,US-101,,,9.870,,531.634,1,"First St",,Hopland,-123.116080,38.973769,"Not Reported",,Mendocino,US-101,,,11.070,,532.757,C101JD,4,2026-08-31,09:14:53,1788192893,2026-09-24,05:01:00,1790251260,2026-09-24,20:59:00,1790308740,false,"Conventional Hwy",Lane,"Roadway Excavation",Standard,5,LShoulder,2,false,true,2026-09-24,07:22:03,1790259723,false,,,,false,,,
C1LC-0007-2026-04-15-16:59:00,2026-09-24,11:18:03,1790273883,South,5,"Toro Creek Road",,Guadalupe,-120.570869,34.977484,85,,"San Luis Obispo",SR-1,,,0.000,,161.165,5,"Yerba Buena Street",,"Morro Bay",-120.867892,35.404254,55,,"San Luis Obispo",SR-1,,,31.970,,193.918,C1LC,7,2026-04-09,08:44:58,1775749498,2026-04-15,16:59:00,1776297540,2026-11-02,16:59:00,1793667540,false,Mainline,Lane,"Bridge Replacement","Long Term","Not Reported",2,2,true,true,2026-04-15,06:42:51,1776260571,true,2026-04-20,08:47:11,1776700031,false,,,
